City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
525,illapel,-31.6308,-71.1653,5.98,91,0,1.55,CL,1720570376
526,grand gaube,-20.0064,57.6608,19.1,76,5,0.45,MU,1720570377
527,thunder bay,48.4001,-89.3168,23.08,69,69,0.66,CA,1720570377
528,altamont,42.2068,-121.7372,37.72,20,0,5.14,US,1720570378
529,byford,-32.2167,116.0,15.53,95,75,3.6,AU,1720570235
530,ahar,38.4774,47.0699,19.54,59,2,2.15,IR,1720570380
531,el parral,16.3675,-93.0058,28.71,89,76,0.67,MX,1720570380
532,palmer,42.1584,-72.3287,28.02,70,75,5.66,US,1720570382
533,kayyerkan,69.3786,87.7439,13.16,81,17,2.56,RU,1720570383
534,north side,19.35,-81.2,29.47,85,100,5.66,KY,1720570384
535,kissidougou,9.1848,-10.0999,20.62,99,93,2.48,GN,1720570384
536,kalmunai,7.4167,81.8167,26.63,80,58,2.87,LK,1720570385
537,bechar,31.6167,-2.2167,34.21,7,0,5.22,DZ,1720570386
538,fort saskatchewan,53.7168,-113.2187,32.62,49,1,3.91,CA,1720570387
539,ballina,-28.8667,153.5667,21.55,80,33,2.5,AU,1720570244
540,mount isa,-20.7333,139.5,17.87,45,24,3.6,AU,1720570389
541,grand-lahou,5.1367,-5.0242,24.3,88,97,4.68,CI,1720570390
542,port isabel,26.0734,-97.2086,31.14,75,5,6.43,US,1720570297
543,qina,26.1642,32.7267,32.48,21,0,2.7,EG,1720570391
544,vila velha,-20.3297,-40.2925,23.86,88,17,3.13,BR,1720570392
545,hola,51.5377,23.1902,18.1,75,0,3.24,PL,1720570393
546,charters towers,-20.1,146.2667,21.9,59,62,2.34,AU,1720570394
547,bryan,30.6744,-96.37,33.82,50,0,2.24,US,1720570220
548,santa catarina mita,14.45,-89.75,20.4,100,100,1.19,GT,1720570395
549,paramonga,-10.6667,-77.8333,17.23,83,45,4.72,PE,1720570396
550,la'ie,21.6477,-157.9253,30.0,69,0,2.68,US,1720570397
551,semenivka,52.1783,32.5818,18.36,97,1,3.59,UA,1720570398
552,tanjung selor,2.8372,117.3642,23.28,98,100,0.73,ID,1720570399
553,rusape,-18.5278,32.1284,7.31,38,0,1.03,ZW,1720570400
554,aparecida do taboado,-20.0867,-51.0936,17.94,75,33,4.66,BR,1720570401
555,kabansk,52.0486,106.6528,20.86,85,98,1.08,RU,1720570402
556,cascais,38.6979,-9.4215,21.39,95,44,5.81,PT,1720570402
557,jieshi,22.8134,115.8257,29.54,74,2,2.53,CN,1720570403
558,severobaykal'sk,55.65,109.3167,16.05,77,99,0.75,RU,1720570404
559,takaungu,-3.6837,39.8566,23.96,88,89,5.57,KE,1720570405
560,fraserburgh,57.6874,-2.0184,13.4,95,100,7.65,GB,1720570405
561,beitbridge,-22.2167,30.0,11.07,12,0,2.53,ZW,1720570406
562,bodden town,19.2833,-81.25,29.43,85,100,2.24,KY,1720570407
563,dul'durga,50.6761,113.5931,25.79,46,3,0.38,RU,1720570408
564,sodra sandby,56.5667,16.6167,15.5,90,92,4.88,SE,1720570409
565,fuglafjordur,62.244,-6.814,7.26,88,50,1.56,FO,1720570409
566,lodwar,3.1191,35.5973,29.78,42,94,5.77,KE,1720570410
567,altai,46.3722,96.2583,17.85,42,64,3.12,MN,1720570411
